recv_ts,t_ms,avg_bpm,last_bpm,beats,ir,finger
2026-07-23T21:09:41,1925995,55,99.3,3,138987,1
2026-07-23T21:09:41,1929008,68,38.3,3,139394,1
2026-07-23T21:09:41,1932023,55,40.9,3,139615,1
2026-07-23T21:09:41,1935036,71,103.3,1,139184,1
2026-07-23T21:09:41,1938050,71,16.1,1,139141,1
2026-07-23T21:09:41,1941064,60,31.1,1,139217,1
2026-07-23T21:09:41,1944077,60,31.1,0,134456,1
2026-07-23T21:09:41,1947091,60,31.1,0,129652,1
2026-07-23T21:09:41,1950105,60,31.1,0,131068,1
2026-07-23T21:09:41,1953120,60,31.1,0,119302,1
2026-07-23T21:09:41,1956134,60,31.1,0,113992,1
2026-07-23T21:09:41,1959148,60,31.1,0,110646,1
2026-07-23T21:09:41,1962161,60,31.1,0,128940,1
2026-07-23T21:09:41,1965176,60,31.1,0,139824,1
2026-07-23T21:09:41,1968189,60,31.1,0,140259,1
2026-07-23T21:09:41,1971203,60,31.1,0,140014,1
2026-07-23T21:09:41,1974217,59,62.2,2,140488,1
2026-07-23T21:09:41,1977231,45,36.4,2,138364,1
2026-07-23T21:09:41,1980245,41,29.0,2,139655,1
2026-07-23T21:09:41,1983260,65,106.8,3,139754,1
2026-07-23T21:09:41,1986274,64,21.3,1,139370,1
2026-07-23T21:09:41,1989287,57,55.3,1,139458,1
2026-07-23T21:09:41,1992301,57,16.6,1,138258,1
2026-07-23T21:09:41,1995314,31,25.5,2,138946,1
2026-07-23T21:09:41,1998329,40,60.9,1,139346,1
2026-07-23T21:09:41,2001342,40,15.9,1,139367,1
2026-07-23T21:09:41,2004357,55,43.3,3,139413,1
2026-07-23T21:09:41,2007370,49,43.9,3,139608,1
2026-07-23T21:09:41,2010384,49,43.9,0,139544,1
2026-07-23T21:09:41,2013398,49,43.9,0,138298,1
2026-07-23T21:09:42,2016412,49,43.9,0,139177,1
2026-07-23T21:09:42,2019427,49,4.9,1,138129,1
2026-07-23T21:09:42,2022440,45,26.9,1,137814,1
2026-07-23T21:09:42,2025454,45,26.9,0,138272,1
