t_ms,avg_bpm,last_bpm,beats,ir,finger
103388,0,0.0,0,768,0
104393,0,0.0,0,763,0
105395,0,0.0,0,762,0
106400,0,0.0,0,762,0
107403,0,0.0,0,760,0
108407,0,0.0,0,763,0
109411,0,0.0,0,764,0
110414,0,0.0,0,760,0
111419,0,0.0,0,762,0
112423,0,0.0,0,764,0
113426,0,0.0,0,769,0
114430,0,0.0,0,759,0
115434,0,0.0,0,759,0
116437,0,0.0,0,767,0
117441,0,0.0,0,762,0
118445,0,0.0,0,768,0
119448,0,0.0,0,769,0
120453,0,0.0,0,765,0
121456,0,0.0,0,769,0
122459,0,0.0,0,762,0
123463,0,0.0,0,764,0
124467,0,0.0,0,771,0
125471,0,0.0,0,762,0
126475,0,0.0,0,768,0
127479,0,0.0,0,764,0
128483,0,0.0,0,751,0
129486,0,0.0,0,768,0
130490,0,0.0,0,769,0
131494,0,0.0,0,750,0
132496,0,0.0,0,771,0
133501,0,0.0,0,767,0
134504,0,0.0,0,766,0
135507,0,0.0,0,772,0
136512,0,0.0,0,766,0
137515,0,0.0,0,772,0
138518,0,0.0,0,777,0
139523,0,0.0,0,762,0
140525,0,0.0,0,760,0
141529,0,0.0,0,769,0
142534,0,0.0,0,764,0
143536,0,0.0,0,758,0
144540,0,0.0,0,772,0
145544,0,0.0,0,772,0
146548,0,0.0,0,758,0
147551,0,0.0,0,768,0
148556,0,0.0,0,771,0
149559,0,0.0,0,760,0
150563,0,0.0,0,769,0
151566,0,0.0,0,768,0
152570,0,0.0,0,753,0
153574,0,0.0,0,771,0
154577,0,0.0,0,772,0
155580,0,0.0,0,764,0
156585,0,0.0,0,772,0
157588,0,0.0,0,764,0
158591,0,0.0,0,767,0
159595,0,0.0,0,763,0
160599,0,0.0,0,762,0
161603,0,0.0,0,769,0
162607,0,0.0,0,773,0
163611,0,0.0,0,758,0
164613,0,0.0,0,780,0
165617,0,0.0,0,763,0
166622,0,0.0,0,772,0
167624,0,0.0,0,767,0
168629,0,0.0,0,775,0
169633,0,0.0,0,754,0
170636,0,0.0,0,770,0
171639,0,0.0,0,770,0
172643,0,0.0,0,768,0
173647,0,0.0,0,769,0
174650,0,0.0,0,770,0
175653,0,0.0,0,767,0
176657,0,0.0,0,773,0
177661,0,0.0,0,765,0
178665,0,0.0,0,762,0
179669,0,0.0,0,769,0
180672,0,0.0,0,764,0
181676,0,0.0,0,758,0
182680,0,0.0,0,778,0
183684,0,0.0,0,765,0
184687,0,0.0,0,760,0
185690,0,0.0,0,778,0
186695,0,0.0,0,769,0
187698,0,0.0,0,775,0
188702,0,0.0,0,773,0
189706,0,0.0,0,769,0
190708,0,0.0,0,775,0
191712,0,0.0,0,760,0
192716,0,0.0,0,758,0
193719,0,0.0,0,775,0
194723,0,0.0,0,762,0
195727,0,0.0,0,763,0
196731,0,0.0,0,772,0
197734,0,0.0,0,772,0
198738,0,0.0,0,766,0
199741,0,0.0,0,767,0
200744,0,0.0,0,759,0
201749,0,0.0,0,771,0
202752,0,0.0,0,770,0
203756,0,0.0,0,773,0
204760,0,0.0,0,768,0
205762,0,0.0,0,1440,0
206766,0,0.0,0,608,0
207770,0,0.0,0,602,0
208773,0,0.0,1,615,0
209778,0,0.0,1,602,0
210782,0,0.0,0,602,0
211785,0,0.0,0,608,0
212788,0,0.0,0,605,0
213792,0,0.0,0,610,0
214795,0,0.0,0,613,0
215800,0,0.0,0,610,0
216803,0,0.0,0,609,0
217807,0,0.0,0,607,0
218810,0,0.0,0,612,0
219813,0,0.0,0,603,0
220817,0,0.0,0,606,0
221821,0,0.0,0,613,0
275014,0,0.0,0,615,0
276017,0,0.0,0,602,0
277021,0,0.0,0,614,0
278025,0,0.0,0,600,0
279029,0,0.0,0,612,0
280032,0,0.0,0,607,0
281036,0,0.0,0,609,0
282040,0,0.0,0,607,0
283042,0,0.0,0,596,0
284047,0,0.0,0,614,0
285051,0,0.0,0,600,0
286053,0,0.0,0,614,0
287058,0,0.0,0,615,0
288061,0,0.0,0,597,0
289065,0,0.0,0,608,0
290069,0,0.0,0,605,0
291072,0,0.0,0,611,0
292075,0,0.0,0,611,0
293080,0,0.0,0,596,0
294082,0,0.0,0,625,0
295087,0,0.0,0,601,0
296090,0,0.0,0,612,0
297094,0,0.0,0,595,0
298097,0,0.0,0,607,0
299101,0,0.0,0,600,0
300105,0,0.0,0,614,0
301108,0,0.0,0,609,0
302112,0,0.0,0,609,0
303116,0,0.0,0,611,0
304118,0,0.0,0,591,0
305123,0,0.0,0,617,0
306127,0,0.0,0,593,0
307130,0,0.0,0,614,0
308133,0,0.0,0,605,0
309137,0,0.0,0,603,0
310140,0,0.0,0,612,0
311144,0,0.0,0,604,0
312148,0,0.0,0,607,0
313151,0,0.0,0,603,0
314155,0,0.0,0,616,0
315158,0,0.0,0,620,0
316163,0,0.0,0,607,0
317165,0,0.0,0,607,0
318170,0,0.0,0,606,0
319172,0,0.0,0,608,0
320176,0,0.0,0,604,0
321181,0,0.0,0,604,0
322184,0,0.0,0,611,0
323188,0,0.0,0,604,0
324191,0,0.0,0,604,0
325194,0,0.0,0,610,0
326198,0,0.0,0,614,0
327202,0,0.0,0,594,0
328206,0,0.0,0,608,0
329210,0,0.0,0,609,0
330212,0,0.0,0,600,0
331216,0,0.0,0,620,0
332221,0,0.0,0,605,0
333224,0,0.0,0,603,0
334228,0,0.0,0,608,0
335231,0,0.0,0,615,0
336234,0,0.0,0,616,0
337239,0,0.0,0,606,0
338241,0,0.0,0,607,0
339246,0,0.0,0,607,0
340250,0,0.0,0,611,0
341253,0,0.0,0,612,0
342256,0,0.0,0,605,0
343260,0,0.0,0,613,0
344263,0,0.0,0,608,0
345268,0,0.0,0,610,0
346271,0,0.0,0,607,0
347274,0,0.0,0,610,0
348279,0,0.0,0,612,0
349281,0,0.0,0,609,0
350285,0,0.0,0,616,0
351288,0,0.0,0,608,0
352292,0,0.0,0,613,0
353297,0,0.0,0,605,0
354299,0,0.0,0,606,0
355303,0,0.0,0,604,0
356307,0,0.0,0,612,0
357310,0,0.0,0,611,0
358315,0,0.0,0,607,0
359318,0,0.0,0,597,0
360321,0,0.0,0,613,0
361325,0,0.0,0,605,0
362329,0,0.0,0,601,0
363333,0,0.0,0,611,0
364337,0,0.0,0,601,0
365340,0,0.0,0,619,0
366343,0,0.0,0,603,0
367347,0,0.0,0,613,0
368350,0,0.0,0,609,0
369354,0,0.0,0,606,0
370358,0,0.0,0,609,0
371362,0,0.0,0,609,0
372365,0,0.0,0,602,0
373369,0,0.0,0,612,0
374372,0,0.0,0,597,0
375377,0,0.0,0,611,0
376381,0,0.0,0,604,0
377384,0,0.0,0,601,0
378388,0,0.0,0,613,0
379391,0,0.0,0,601,0
380395,0,0.0,0,613,0
381399,0,0.0,0,615,0
382403,0,0.0,0,604,0
383407,0,0.0,0,602,0
384409,0,0.0,0,612,0
385413,0,0.0,0,606,0
386418,0,0.0,0,613,0
387420,0,0.0,0,598,0
388425,0,0.0,0,611,0
389429,0,0.0,0,601,0
390432,0,0.0,0,612,0
391435,0,0.0,0,611,0
392439,0,0.0,0,612,0
393444,0,0.0,0,616,0
394447,0,0.0,0,591,0
395451,0,0.0,0,614,0
396455,0,0.0,0,608,0
397458,0,0.0,0,596,0
398461,0,0.0,0,610,0
399465,0,0.0,0,607,0
400468,0,0.0,0,597,0
401473,0,0.0,0,612,0
402476,0,0.0,0,609,0
403479,0,0.0,0,613,0
404484,0,0.0,0,604,0
405488,0,0.0,0,615,0
406490,0,0.0,0,617,0
407495,0,0.0,0,601,0
408497,0,0.0,0,617,0
409502,0,0.0,0,609,0
410506,0,0.0,0,598,0
411509,0,0.0,0,614,0
412512,0,0.0,0,607,0
413516,0,0.0,0,613,0
414519,0,0.0,0,617,0
415524,0,0.0,0,601,0
416528,0,0.0,0,609,0
417531,0,0.0,0,595,0
418534,0,0.0,0,618,0
419538,0,0.0,0,609,0
420542,0,0.0,0,601,0
421546,0,0.0,0,617,0
422549,0,0.0,0,601,0
423554,0,0.0,0,620,0
424557,0,0.0,0,615,0
